TF,score,n_metrics,g1_dm_diff,g2_gd,g3_ko_diff,g4_survival
GATA6,1.7005,5,0.583388870453106,0.3662721522950717,0.6940518218660399,0.056822696672051046
TCF7L1,1.6997,6,0.5632219267403944,0.48387500782766607,0.574556626577199,0.07805882751768847
ESR2,1.6989,5,0.5905976603441162,0.3897551506042958,0.6484510158438812,0.07013195618553986
EOMES,1.697,6,0.5056257719637858,0.4101070824722901,0.7253452130647688,0.0559205336800309
EP300,1.6964,4,0.556325230872284,0.3771056421817271,0.4174292987239842,0.34552975952373993
HOXA4,1.6953,5,0.39303200513811476,0.4260755213225625,0.8195346889274548,0.056679719288882775
SOX2,1.6943,5,0.5270465365136147,0.37860855407351746,0.6884048438107973,0.10028744024361888
ZNF384,1.6942,4,0.6652326742358227,0.3162377105642182,0.5791626442982587,0.13355568391436395
PBX2,1.6935,6,0.598488172766801,0.43953910701985094,0.5564333942487968,0.09900642835425442
MBD2,1.6928,6,0.5280964430695662,0.44492454129876635,0.4651331112832453,0.25467959618199776
SRY,1.6915,5,0.7643915093004147,0.3312668294821216,0.5127611472942057,0.08308175512342438
GRHL2,1.6868,6,0.6117037633864417,0.3960172834867556,0.5198349217122423,0.15921363428537028
SPIC,1.6866,6,0.5619596507174236,0.4121109649946772,0.607108661064606,0.10541735726689877
IRF5,1.6858,5,0.5289418245727913,0.37053040265514436,0.7296062251317993,0.05669520268266447
FOXN1,1.6841,5,0.6057941621708822,0.4627716200137767,0.5314957888448122,0.08404273974419316
SP7,1.6829,4,0.6736900904786647,0.3650197257185797,0.5784418114517607,0.06577128582228076
TBX15,1.6816,5,0.646041414187184,0.31172897488884715,0.5696132216094577,0.15425182857813385
HOXB6,1.6806,6,0.5253726746099738,0.41843571920596156,0.6568563245003183,0.07991730837935065
NPAS2,1.6806,5,0.6308392949207052,0.37566535161876136,0.6139398094069168,0.060177871065370286
GSC,1.6804,5,0.5250639930048586,0.3823658338029933,0.6428772517332063,0.13009983902941297
DMAP1,1.6796,6,0.4998012319082853,0.5474356565846327,0.462509161219366,0.16982782438072186
ATF1,1.6771,5,0.6605433106904445,0.3555012837372409,0.5726955525222078,0.08834932689417749
ID4,1.6763,5,0.5663915896607802,0.37497651700169077,0.707536691164494,0.02737330662600452
HNF4G,1.6748,5,0.8153285939580693,0.3519944893230635,0.4724793296289852,0.03497795635840673
SP3,1.6744,4,0.7060989959151656,0.30114597031749013,0.6056038636711044,0.06150308349874814
ZNF362,1.6738,5,0.5980243498190874,0.43791095247041145,0.5286374904491403,0.10921829402585437
MIXL1,1.6731,5,0.5521284853242492,0.37716826351055166,0.5612001441706623,0.18262106709957746
NFYA,1.6722,6,0.4834881108798359,0.4437973573799236,0.5656053881177958,0.17931099294941225
CXXC1,1.6719,5,0.5777545296375134,0.4297075583943892,0.5525259436400296,0.11194574170760932
HOXB4,1.6709,5,0.4126056228187954,0.3330202266892104,0.7487917941805233,0.17646442432248055
DDIT3,1.6688,5,0.6576473109926377,0.3045275220740184,0.6409516031784201,0.0657174440866974
IRF6,1.6676,5,0.6322376622627583,0.31241780950591774,0.6358191532426923,0.0870782140322406
CEBPE,1.6669,5,0.36511435324699887,0.3764168075646565,0.835643213323421,0.08970373553836843
SPIB,1.6644,6,0.5629686589949765,0.3880017533972071,0.6416520726680672,0.07182658430709082
MLXIPL,1.6638,6,0.6009125880348418,0.4335274594526896,0.5452283435817789,0.08412824387888326
LMX1B,1.6635,5,0.626842374606535,0.40879203456697355,0.552579260479259,0.0752704464458254
TBX10,1.6609,5,0.6642077249181053,0.3948900995679128,0.5554385532185668,0.04632639598564993
LEF1,1.6603,5,0.4761385888791233,0.3631410858538418,0.6982234439973349,0.1228362445987672
RFX2,1.66,6,0.5317811913069629,0.37291001315047906,0.5824879785589508,0.17280171250993406
CDX2,1.659,6,0.6033847064155458,0.3615129313044023,0.6220813202538703,0.0720325382932207
NCOA1,1.6586,6,0.6737336835670481,0.40948086918404414,0.4927895266890836,0.08257629246182673
